"","season","week","half","even_wk","team","result","win","tie","loss"
"130",1999,10,"second","even","Buffalo Bills",20,1,0,0
"131",1999,10,"second","even","Chicago Bears",-3,0,0,1
"132",1999,10,"second","even","Cincinnati Bengals",-10,0,0,1
"133",1999,10,"second","even","Dallas Cowboys",14,1,0,0
"134",1999,10,"second","even","Jacksonville Jaguars",3,1,0,0
"135",1999,10,"second","even","New Orleans Saints",18,1,0,0
"136",1999,10,"second","even","New York Giants",-8,0,0,1
"137",1999,10,"second","even","Oakland Raiders",19,1,0,0
"138",1999,10,"second","even","Philadelphia Eagles",7,1,0,0
"139",1999,10,"second","even","Pittsburgh Steelers",-1,0,0,1
"140",1999,10,"second","even","Seattle Seahawks",3,1,0,0
"141",1999,10,"second","even","St. Louis Rams",25,1,0,0
"142",1999,10,"second","even","Tampa Bay Buccaneers",7,1,0,0
"143",1999,10,"second","even","New England Patriots",-7,0,0,1
"144",1999,11,"second","odd","Arizona Cardinals",4,1,0,0
"145",1999,11,"second","odd","Cincinnati Bengals",-3,0,0,1
"146",1999,11,"second","odd","Cleveland Browns",-14,0,0,1
"147",1999,11,"second","odd","Green Bay Packers",9,1,0,0
"148",1999,11,"second","odd","Jacksonville Jaguars",18,1,0,0
"149",1999,11,"second","odd","Kansas City Chiefs",-12,0,0,1
"150",1999,11,"second","odd","Miami Dolphins",10,1,0,0
"151",1999,11,"second","odd","New York Jets",10,1,0,0
"152",1999,11,"second","odd","Philadelphia Eagles",-27,0,0,1
"153",1999,11,"second","odd","San Diego Chargers",-3,0,0,1
"154",1999,11,"second","odd","San Francisco 49ers",-16,0,0,1
"155",1999,11,"second","odd","Tampa Bay Buccaneers",9,1,0,0
"156",1999,11,"second","odd","Tennessee Titans",6,1,0,0
"157",1999,11,"second","odd","Washington Redskins",10,1,0,0
"158",1999,11,"second","odd","Denver Broncos",6,1,0,0
"159",1999,12,"second","even","Dallas Cowboys",20,1,0,0
"160",1999,12,"second","even","Detroit Lions",4,1,0,0
"161",1999,12,"second","even","Baltimore Ravens",-7,0,0,1
"162",1999,12,"second","even","Buffalo Bills",10,1,0,0
"163",1999,12,"second","even","Carolina Panthers",6,1,0,0
"164",1999,12,"second","even","Cleveland Browns",-12,0,0,1
"165",1999,12,"second","even","Indianapolis Colts",7,1,0,0
"166",1999,12,"second","even","Minnesota Vikings",8,1,0,0
"167",1999,12,"second","even","New York Giants",-10,0,0,1
"168",1999,12,"second","even","Oakland Raiders",-3,0,0,1
"169",1999,12,"second","even","Pittsburgh Steelers",-7,0,0,1
"170",1999,12,"second","even","Seattle Seahawks",-13,0,0,1
"171",1999,12,"second","even","St. Louis Rams",31,1,0,0
"172",1999,12,"second","even","Washington Redskins",3,1,0,0
"173",1999,12,"second","even","San Francisco 49ers",-17,0,0,1
"174",1999,13,"second","odd","Jacksonville Jaguars",14,1,0,0
"175",1999,13,"second","odd","Arizona Cardinals",4,1,0,0
"176",1999,13,"second","odd","Atlanta Falcons",23,1,0,0
"177",1999,13,"second","odd","Baltimore Ravens",27,1,0,0
"178",1999,13,"second","odd","Carolina Panthers",-13,0,0,1
"179",1999,13,"second","odd","Chicago Bears",-16,0,0,1
"180",1999,13,"second","odd","Cincinnati Bengals",14,1,0,0
"181",1999,13,"second","odd","Denver Broncos",-6,0,0,1
"182",1999,13,"second","odd","Detroit Lions",16,1,0,0
"183",1999,13,"second","odd","Miami Dolphins",-3,0,0,1
"184",1999,13,"second","odd","New England Patriots",7,1,0,0
"185",1999,13,"second","odd","New York Giants",13,1,0,0
"186",1999,13,"second","odd","Oakland Raiders",9,1,0,0
"187",1999,13,"second","odd","San Diego Chargers",13,1,0,0
"188",1999,13,"second","odd","Tampa Bay Buccaneers",7,1,0,0
"189",1999,14,"second","even","Tennessee Titans",7,1,0,0
"190",1999,14,"second","even","Buffalo Bills",-2,0,0,1
"191",1999,14,"second","even","Cincinnati Bengals",16,1,0,0
"192",1999,14,"second","even","Dallas Cowboys",10,1,0,0
"193",1999,14,"second","even","Green Bay Packers",-2,0,0,1
"194",1999,14,"second","even","Indianapolis Colts",5,1,0,0
"195",1999,14,"second","even","Kansas City Chiefs",3,1,0,0
"196",1999,14,"second","even","New Orleans Saints",-16,0,0,1
"197",1999,14,"second","even","New York Jets",8,1,0,0
"198",1999,14,"second","even","Pittsburgh Steelers",-7,0,0,1
"199",1999,14,"second","even","San Francisco 49ers",19,1,0,0
"200",1999,14,"second","even","Seattle Seahawks",-3,0,0,1
"201",1999,14,"second","even","Tampa Bay Buccaneers",7,1,0,0
"202",1999,14,"second","even","Washington Redskins",25,1,0,0
"203",1999,14,"second","even","Jacksonville Jaguars",3,1,0,0
"204",1999,15,"second","odd","Carolina Panthers",17,1,0,0
"205",1999,15,"second","odd","Kansas City Chiefs",16,1,0,0
"206",1999,15,"second","odd","Arizona Cardinals",-10,0,0,1
"207",1999,15,"second","odd","Baltimore Ravens",23,1,0,0
"208",1999,15,"second","odd","Chicago Bears",18,1,0,0
"209",1999,15,"second","odd","Cleveland Browns",-10,0,0,1
"210",1999,15,"second","odd","Dallas Cowboys",-1,0,0,1
"211",1999,15,"second","odd","Denver Broncos",6,1,0,0
"212",1999,15,"second","odd","Indianapolis Colts",3,1,0,0
"213",1999,15,"second","odd","Miami Dolphins",3,1,0,0
"214",1999,15,"second","odd","Oakland Raiders",45,1,0,0
"215",1999,15,"second","odd","Philadelphia Eagles",15,1,0,0
"216",1999,15,"second","odd","St. Louis Rams",21,1,0,0
"217",1999,15,"second","odd","Tennessee Titans",13,1,0,0
"218",1999,15,"second","odd","Minnesota Vikings",4,1,0,0
"219",1999,16,"second","even","New Orleans Saints",7,1,0,0
"220",1999,16,"second","even","Detroit Lions",-10,0,0,1
"221",1999,16,"second","even","Atlanta Falcons",23,1,0,0
"222",1999,16,"second","even","Baltimore Ravens",22,1,0,0
"223",1999,16,"second","even","Cleveland Browns",-1,0,0,1
"224",1999,16,"second","even","New England Patriots",-3,0,0,1
"225",1999,16,"second","even","New York Giants",-17,0,0,1
"226",1999,16,"second","even","Pittsburgh Steelers",10,1,0,0
"227",1999,16,"second","even","San Diego Chargers",3,1,0,0
"228",1999,16,"second","even","San Francisco 49ers",-6,0,0,1
"229",1999,16,"second","even","Seattle Seahawks",9,1,0,0
"230",1999,16,"second","even","St. Louis Rams",22,1,0,0
"231",1999,16,"second","even","Tampa Bay Buccaneers",19,1,0,0
"232",1999,16,"second","even","Tennessee Titans",27,1,0,0
"233",1999,16,"second","even","Miami Dolphins",-7,0,0,1
"234",1999,17,"second","odd","Buffalo Bills",25,1,0,0
"235",1999,17,"second","odd","Carolina Panthers",32,1,0,0
"236",1999,17,"second","odd","Chicago Bears",-14,0,0,1
"237",1999,17,"second","odd","Dallas Cowboys",8,1,0,0
"238",1999,17,"second","odd","Denver Broncos",-6,0,0,1
"239",1999,17,"second","odd","Green Bay Packers",25,1,0,0
"240",1999,17,"second","odd","Jacksonville Jaguars",17,1,0,0
"241",1999,17,"second","odd","Kansas City Chiefs",-3,0,0,1
"242",1999,17,"second","odd","Minnesota Vikings",7,1,0,0
"243",1999,17,"second","odd","New England Patriots",17,1,0,0
"244",1999,17,"second","odd","New York Jets",10,1,0,0
"245",1999,17,"second","odd","Philadelphia Eagles",7,1,0,0
"246",1999,17,"second","odd","Pittsburgh Steelers",-11,0,0,1
"247",1999,17,"second","odd","Washington Redskins",11,1,0,0
"248",1999,17,"second","odd","Atlanta Falcons",5,1,0,0
"249",2000,1,"first","odd","Atlanta Falcons",8,1,0,0
"250",2000,1,"first","odd","Buffalo Bills",3,1,0,0
"251",2000,1,"first","odd","Cleveland Browns",-20,0,0,1
"252",2000,1,"first","odd","Dallas Cowboys",-27,0,0,1
"253",2000,1,"first","odd","Green Bay Packers",-4,0,0,1
"254",2000,1,"first","odd","Kansas City Chiefs",-13,0,0,1
"255",2000,1,"first","odd","Miami Dolphins",23,1,0,0
"256",2000,1,"first","odd","Minnesota Vikings",3,1,0,0
"257",2000,1,"first","odd","New England Patriots",-5,0,0,1
"258",2000,1,"first","odd","New Orleans Saints",-4,0,0,1
"259",2000,1,"first","odd","New York Giants",5,1,0,0
"260",2000,1,"first","odd","Oakland Raiders",3,1,0,0
"261",2000,1,"first","odd","Pittsburgh Steelers",-16,0,0,1
"262",2000,1,"first","odd","Washington Redskins",3,1,0,0
"263",2000,1,"first","odd","St. Louis Rams",5,1,0,0
"264",2000,2,"first","even","Arizona Cardinals",1,1,0,0
"265",2000,2,"first","even","Baltimore Ravens",3,1,0,0
"266",2000,2,"first","even","Buffalo Bills",9,1,0,0
"267",2000,2,"first","even","Cincinnati Bengals",-17,0,0,1
"268",2000,2,"first","even","Denver Broncos",28,1,0,0
"269",2000,2,"first","even","Detroit Lions",5,1,0,0
"270",2000,2,"first","even","Indianapolis Colts",-7,0,0,1
"271",2000,2,"first","even","Minnesota Vikings",6,1,0,0
"272",2000,2,"first","even","Philadelphia Eagles",-15,0,0,1
"273",2000,2,"first","even","San Diego Chargers",-1,0,0,1
"274",2000,2,"first","even","San Francisco 49ers",-16,0,0,1
"275",2000,2,"first","even","Seattle Seahawks",-3,0,0,1
"276",2000,2,"first","even","Tampa Bay Buccaneers",41,1,0,0
"277",2000,2,"first","even","Tennessee Titans",3,1,0,0
"278",2000,2,"first","even","New York Jets",1,1,0,0
"279",2000,3,"first","odd","Carolina Panthers",-5,0,0,1
"280",2000,3,"first","odd","Chicago Bears",-7,0,0,1
"281",2000,3,"first","odd","Cleveland Browns",3,1,0,0
"282",2000,3,"first","odd","Detroit Lions",-21,0,0,1
"283",2000,3,"first","odd","Green Bay Packers",3,1,0,0
"284",2000,3,"first","odd","Jacksonville Jaguars",13,1,0,0
"285",2000,3,"first","odd","Kansas City Chiefs",32,1,0,0
"286",2000,3,"first","odd","Miami Dolphins",13,1,0,0
"287",2000,3,"first","odd","New England Patriots",-8,0,0,1
"288",2000,3,"first","odd","New York Jets",13,1,0,0
"289",2000,3,"first","odd","Oakland Raiders",-9,0,0,1
"290",2000,3,"first","odd","Seattle Seahawks",10,1,0,0
"291",2000,3,"first","odd","St. Louis Rams",17,1,0,0
"292",2000,3,"first","odd","Washington Redskins",-6,0,0,1
"293",2000,4,"first","even","Arizona Cardinals",-26,0,0,1
"294",2000,4,"first","even","Atlanta Falcons",-21,0,0,1
"295",2000,4,"first","even","Baltimore Ravens",37,1,0,0
"296",2000,4,"first","even","Chicago Bears",-7,0,0,1
"297",2000,4,"first","even","Dallas Cowboys",-17,0,0,1
"298",2000,4,"first","even","Denver Broncos",-1,0,0,1
"299",2000,4,"first","even","Miami Dolphins",7,1,0,0
"300",2000,4,"first","even","New Orleans Saints",-14,0,0,1
"301",2000,4,"first","even","New York Giants",-10,0,0,1
"302",2000,4,"first","even","Oakland Raiders",26,1,0,0
"303",2000,4,"first","even","Pittsburgh Steelers",-3,0,0,1
"304",2000,4,"first","even","San Diego Chargers",-8,0,0,1
"305",2000,4,"first","even","Tampa Bay Buccaneers",-4,0,0,1
"306",2000,4,"first","even","Indianapolis Colts",29,1,0,0
"307",2000,5,"first","odd","Buffalo Bills",-2,0,0,1
"308",2000,5,"first","odd","Carolina Panthers",-3,0,0,1
"309",2000,5,"first","odd","Cincinnati Bengals",-15,0,0,1
"310",2000,5,"first","odd","Cleveland Browns",-12,0,0,1
"311",2000,5,"first","odd","Denver Broncos",-9,0,0,1
"312",2000,5,"first","odd","Detroit Lions",-7,0,0,1
"313",2000,5,"first","odd","Green Bay Packers",-3,0,0,1
"314",2000,5,"first","odd","Jacksonville Jaguars",-11,0,0,1
"315",2000,5,"first","odd","Philadelphia Eagles",28,1,0,0
"316",2000,5,"first","odd","San Francisco 49ers",7,1,0,0
"317",2000,5,"first","odd","St. Louis Rams",26,1,0,0
"318",2000,5,"first","odd","Tennessee Titans",14,1,0,0
"319",2000,5,"first","odd","Washington Redskins",3,1,0,0
"320",2000,5,"first","odd","Kansas City Chiefs",7,1,0,0
"321",2000,6,"first","even","Arizona Cardinals",8,1,0,0
"322",2000,6,"first","even","Atlanta Falcons",-7,0,0,1
"323",2000,6,"first","even","Carolina Panthers",23,1,0,0
"324",2000,6,"first","even","Chicago Bears",-21,0,0,1
"325",2000,6,"first","even","Cincinnati Bengals",-9,0,0,1
"326",2000,6,"first","even","Detroit Lions",7,1,0,0
"327",2000,6,"first","even","Jacksonville Jaguars",-5,0,0,1
"328",2000,6,"first","even","Miami Dolphins",9,1,0,0
"329",2000,6,"first","even","New England Patriots",8,1,0,0
"330",2000,6,"first","even","New York Jets",-17,0,0,1
"331",2000,6,"first","even","Philadelphia Eagles",-3,0,0,1
"332",2000,6,"first","even","San Diego Chargers",-14,0,0,1
"333",2000,6,"first","even","San Francisco 49ers",-6,0,0,1
"334",2000,6,"first","even","Minnesota Vikings",7,1,0,0
"335",2000,7,"first","odd","Arizona Cardinals",-19,0,0,1
"336",2000,7,"first","odd","Buffalo Bills",3,1,0,0
"337",2000,7,"first","odd","Chicago Bears",-12,0,0,1
"338",2000,7,"first","odd","Denver Broncos",34,1,0,0
"339",2000,7,"first","odd","Green Bay Packers",3,1,0,0
"340",2000,7,"first","odd","Kansas City Chiefs",-3,0,0,1
"341",2000,7,"first","odd","New England Patriots",-17,0,0,1
"342",2000,7,"first","odd","New Orleans Saints",18,1,0,0
"343",2000,7,"first","odd","New York Giants",5,1,0,0
"344",2000,7,"first","odd","Pittsburgh Steelers",15,1,0,0
"345",2000,7,"first","odd","Seattle Seahawks",-13,0,0,1
"346",2000,7,"first","odd","St. Louis Rams",16,1,0,0
"347",2000,7,"first","odd","Washington Redskins",7,1,0,0
"348",2000,7,"first","odd","Tennessee Titans",14,1,0,0
"349",2000,8,"first","even","Tampa Bay Buccaneers",-14,0,0,1
"350",2000,8,"first","even","Atlanta Falcons",-2,0,0,1
"351",2000,8,"first","even","Baltimore Ravens",-8,0,0,1
"352",2000,8,"first","even","Carolina Panthers",18,1,0,0
"353",2000,8,"first","even","Cincinnati Bengals",10,1,0,0
"354",2000,8,"first","even","Dallas Cowboys",41,1,0,0
"355",2000,8,"first","even","Indianapolis Colts",7,1,0,0
"356",2000,8,"first","even","Jacksonville Jaguars",-19,0,0,1
"357",2000,8,"first","even","Kansas City Chiefs",20,1,0,0
"358",2000,8,"first","even","Minnesota Vikings",4,1,0,0
"359",2000,8,"first","even","Oakland Raiders",28,1,0,0
"360",2000,8,"first","even","Philadelphia Eagles",4,1,0,0
"361",2000,8,"first","even","Pittsburgh Steelers",22,1,0,0
"362",2000,8,"first","even","New York Jets",3,1,0,0
"363",2000,9,"first","odd","Arizona Cardinals",-11,0,0,1
"364",2000,9,"first","odd","Atlanta Falcons",1,1,0,0
"365",2000,9,"first","odd","Baltimore Ravens",-3,0,0,1
"366",2000,9,"first","odd","Buffalo Bills",3,1,0,0
"367",2000,9,"first","odd","Cleveland Browns",-9,0,0,1
"368",2000,9,"first","odd","Dallas Cowboys",-6,0,0,1
"369",2000,9,"first","odd","Indianapolis Colts",12,1,0,0
"370",2000,9,"first","odd","Miami Dolphins",8,1,0,0
"371",2000,9,"first","odd","New York Giants",17,1,0,0
"372",2000,9,"first","odd","San Diego Chargers",-2,0,0,1
"373",2000,9,"first","odd","San Francisco 49ers",-10,0,0,1
"374",2000,9,"first","odd","Seattle Seahawks",-5,0,0,1
"375",2000,9,"first","odd","Tampa Bay Buccaneers",28,1,0,0
"376",2000,9,"first","odd","Washington Redskins",-6,0,0,1
"377",2000,10,"second","even","Arizona Cardinals",1,1,0,0
"378",2000,10,"second","even","Atlanta Falcons",-13,0,0,1
"379",2000,10,"second","even","Chicago Bears",3,1,0,0
"380",2000,10,"second","even","Cincinnati Bengals",-20,0,0,1
"381",2000,10,"second","even","Cleveland Browns",-21,0,0,1
"382",2000,10,"second","even","Detroit Lions",-15,0,0,1
"383",2000,10,"second","even","New England Patriots",-3,0,0,1
"384",2000,10,"second","even","New Orleans Saints",16,1,0,0
"385",2000,10,"second","even","New York Jets",-7,0,0,1
"386",2000,10,"second","even","Oakland Raiders",18,1,0,0
"387",2000,10,"second","even","Philadelphia Eagles",3,1,0,0
"388",2000,10,"second","even","Seattle Seahawks",2,1,0,0
"389",2000,10,"second","even","St. Louis Rams",-3,0,0,1
"390",2000,10,"second","even","Tennessee Titans",2,1,0,0
"391",2000,10,"second","even","Green Bay Packers",6,1,0,0
"392",2000,11,"second","odd","Buffalo Bills",17,1,0,0
"393",2000,11,"second","odd","Carolina Panthers",-10,0,0,1
"394",2000,11,"second","odd","Cleveland Browns",8,1,0,0
"395",2000,11,"second","odd","Dallas Cowboys",17,1,0,0
"396",2000,11,"second","odd","Detroit Lions",3,1,0,0
"397",2000,11,"second","odd","Indianapolis Colts",8,1,0,0
"398",2000,11,"second","odd","Jacksonville Jaguars",-7,0,0,1
"399",2000,11,"second","odd","Minnesota Vikings",17,1,0,0
"400",2000,11,"second","odd","New York Giants",-14,0,0,1
"401",2000,11,"second","odd","Pittsburgh Steelers",-3,0,0,1
"402",2000,11,"second","odd","San Diego Chargers",-10,0,0,1
"403",2000,11,"second","odd","San Francisco 49ers",14,1,0,0
"404",2000,11,"second","odd","Tampa Bay Buccaneers",5,1,0,0
"405",2000,11,"second","odd","Tennessee Titans",-1,0,0,1
"406",2000,11,"second","odd","Denver Broncos",3,1,0,0
"407",2000,12,"second","even","Baltimore Ravens",27,1,0,0
"408",2000,12,"second","even","Chicago Bears",3,1,0,0
"409",2000,12,"second","even","Denver Broncos",1,1,0,0
"410",2000,12,"second","even","Green Bay Packers",2,1,0,0
"411",2000,12,"second","even","Kansas City Chiefs",-4,0,0,1
"412",2000,12,"second","even","Miami Dolphins",-17,0,0,1
"413",2000,12,"second","even","Minnesota Vikings",14,1,0,0
"414",2000,12,"second","even","New England Patriots",3,1,0,0
"415",2000,12,"second","even","New Orleans Saints",-9,0,0,1
"416",2000,12,"second","even","New York Giants",-10,0,0,1
"417",2000,12,"second","even","Philadelphia Eagles",25,1,0,0
"418",2000,12,"second","even","Pittsburgh Steelers",-10,0,0,1
"419",2000,12,"second","even","San Francisco 49ers",10,1,0,0
"420",2000,12,"second","even","Tennessee Titans",14,1,0,0
"421",2000,12,"second","even","St. Louis Rams",-13,0,0,1
"422",2000,13,"second","odd","Dallas Cowboys",-12,0,0,1
"423",2000,13,"second","odd","Detroit Lions",25,1,0,0
"424",2000,13,"second","odd","Arizona Cardinals",-24,0,0,1
"425",2000,13,"second","odd","Baltimore Ravens",37,1,0,0
"426",2000,13,"second","odd","Cincinnati Bengals",-20,0,0,1
"427",2000,13,"second","odd","Indianapolis Colts",-3,0,0,1
"428",2000,13,"second","odd","Jacksonville Jaguars",3,1,0,0
"429",2000,13,"second","odd","New York Jets",7,1,0,0
"430",2000,13,"second","odd","Oakland Raiders",27,1,0,0
"431",2000,13,"second","odd","San Diego Chargers",1,1,0,0
"432",2000,13,"second","odd","Seattle Seahawks",-7,0,0,1
"433",2000,13,"second","odd","St. Louis Rams",-7,0,0,1
"434",2000,13,"second","odd","Tampa Bay Buccaneers",14,1,0,0
"435",2000,13,"second","odd","Washington Redskins",-3,0,0,1
"436",2000,13,"second","odd","Carolina Panthers",17,1,0,0
"437",2000,14,"second","even","Minnesota Vikings",7,1,0,0
"438",2000,14,"second","even","Atlanta Falcons",-20,0,0,1
"439",2000,14,"second","even","Buffalo Bills",-27,0,0,1
"440",2000,14,"second","even","Carolina Panthers",13,1,0,0
"441",2000,14,"second","even","Chicago Bears",-22,0,0,1
"442",2000,14,"second","even","Cincinnati Bengals",11,1,0,0
"443",2000,14,"second","even","Jacksonville Jaguars",48,1,0,0
"444",2000,14,"second","even","New Orleans Saints",-15,0,0,1
